name,file,component,dtype,shape,bytes,data_start,data_end,file_data_start,file_data_end,layer,expert,matrix,kind
embed.weight,model-00001-of-00046.safetensors,embeddings,BF16,129280x4096,1059061760,0,1059061760,96,1059061856,,,,
layers.0.ffn.gate.tid2eid,model-00002-of-00046.safetensors,core_router,I64,129280x6,6205440,0,6205440,172240,6377680,0,,,
layers.0.attn.attn_sink,model-00002-of-00046.safetensors,core_attention_dense,F32,64,256,6205440,6205696,6377680,6377936,0,,,
layers.0.hc_attn_base,model-00002-of-00046.safetensors,core_hyper_correction,F32,24,96,6205696,6205792,6377936,6378032,0,,,
layers.0.hc_attn_fn,model-00002-of-00046.safetensors,core_hyper_correction,F32,24x16384,1572864,6205792,7778656,6378032,7950896,0,,,
layers.0.hc_attn_scale,model-00002-of-00046.safetensors,core_hyper_correction,F32,3,12,7778656,7778668,7950896,7950908,0,,,
layers.0.hc_ffn_base,model-00002-of-00046.safetensors,core_hyper_correction,F32,24,96,7778668,7778764,7950908,7951004,0,,,
layers.0.hc_ffn_fn,model-00002-of-00046.safetensors,core_hyper_correction,F32,24x16384,1572864,7778764,9351628,7951004,9523868,0,,,
layers.0.hc_ffn_scale,model-00002-of-00046.safetensors,core_hyper_correction,F32,3,12,9351628,9351640,9523868,9523880,0,,,
layers.0.attn.kv_norm.weight,model-00002-of-00046.safetensors,core_attention_dense,BF16,512,1024,9351640,9352664,9523880,9524904,0,,,
layers.0.attn.q_norm.weight,model-00002-of-00046.safetensors,core_attention_dense,BF16,1024,2048,9352664,9354712,9524904,9526952,0,,,
layers.0.attn_norm.weight,model-00002-of-00046.safetensors,core_norms,BF16,4096,8192,9354712,9362904,9526952,9535144,0,,,
layers.0.ffn.gate.weight,model-00002-of-00046.safetensors,core_router,BF16,256x4096,2097152,9362904,11460056,9535144,11632296,0,,,
layers.0.ffn_norm.weight,model-00002-of-00046.safetensors,core_norms,BF16,4096,8192,11460056,11468248,11632296,11640488,0,,,
layers.0.attn.wkv.scale,model-00002-of-00046.safetensors,core_attention_dense,F8_E8M0,4x32,128,11468248,11468376,11640488,11640616,0,,,
layers.0.attn.wo_a.scale,model-00002-of-00046.safetensors,core_attention_dense,F8_E8M0,64x32,2048,11468376,11470424,11640616,11642664,0,,,
layers.0.attn.wo_b.scale,model-00002-of-00046.safetensors,core_attention_dense,F8_E8M0,32x64,2048,11470424,11472472,11642664,11644712,0,,,
layers.0.attn.wq_a.scale,model-00002-of-00046.safetensors,core_attention_dense,F8_E8M0,8x32,256,11472472,11472728,11644712,11644968,0,,,
layers.0.attn.wq_b.scale,model-00002-of-00046.safetensors,core_attention_dense,F8_E8M0,256x8,2048,11472728,11474776,11644968,11647016,0,,,
layers.0.ffn.experts.0.w1.scale,model-00002-of-00046.safetensors,core_routed_experts,F8_E8M0,2048x128,262144,11474776,11736920,11647016,11909160,0,0,w1,scale
