==== 2026-05-04T11:45:19-04:00 guarded docker run start ====
command: docker run --rm --name materializer-ab-e050 --runtime=nvidia --gpus all --memory 112g --memory-swap 120g -v /home/cole/deepseek-v4-flash-dgx-spark:/repo:ro -v /home/cole/models/deepseek-v4-flash/hf:/model:ro -v /home/cole/runs/deepseek-v4-flash:/runs -e PYTHONPATH=/repo:/repo/spark_runtime:/model/inference -e PYTHONDONTWRITEBYTECODE=1 -e DEEPSEEK_SPARK_MODEL_DIR=/model -e DEEPSEEK_SPARK_MANIFEST_CSV=/repo/results/spark-66c9/weight-manifest.csv -e DEEPSEEK_SPARK_POSTFILL_MODE=deferred -e DEEPSEEK_SPARK_EXPERT_CACHE_ENTRIES=1024 -e DEEPSEEK_SPARK_EXPERT_CACHE_POLICY=layer_lru -e DEEPSEEK_SPARK_EXPERT_CACHE_LAYER_COUNT=43 -e DEEPSEEK_SPARK_PACKED_EXPERT_LAYOUT=/runs/packed-full-e018/layout.json -e DEEPSEEK_SPARK_PACKED_NATIVE_LOADER=1 -e DEEPSEEK_SPARK_PACKED_NATIVE_PINNED_STAGING=1 -e DEEPSEEK_SPARK_DIRECT_PARAM_COPY=1 -e DEEPSEEK_SPARK_PARAM_COPY_NON_BLOCKING=1 -e DEEPSEEK_SPARK_NATIVE_MATERIALIZER=1 -e DEEPSEEK_SPARK_EXPERT_ARENA_SLOTS=256 -e DEEPSEEK_SPARK_NATIVE_WITH_CUDA=1 -e DEEPSEEK_SPARK_NATIVE_BUILD_DIR=/runs/torch-extensions/native-packed-loader-cuda-e049 --entrypoint /bin/bash deepseek-v4-flash-spark:tilelang -lc 'cd /repo && python3 /repo/scripts/run_materializer_ab.py --prefix materializer-ab-e050 --sequence arena,cuda,arena,cuda --prompt Hello --max-tokens 32 --sleep-between 5'
guard: memory=112g memory_swap=120g min_mem_available_gib=12.0 timeout_seconds=3600.0
[2026-05-04T11:45:19-04:00] guard: initial MemAvailable=118.41 GiB
[2026-05-04T11:45:19-04:00] guard: elapsed=0.0s MemAvailable=118.41 GiB
{"event": "ab_run_start", "name": "materializer-ab-e050-01-arena", "variant": "arena"}
[2026-05-04T11:45:21-04:00] guard: elapsed=2.0s MemAvailable=118.30 GiB
[2026-05-04T11:45:23-04:00] guard: elapsed=4.0s MemAvailable=118.04 GiB
[2026-05-04T11:45:25-04:00] guard: elapsed=6.0s MemAvailable=118.01 GiB
[2026-05-04T11:45:27-04:00] guard: elapsed=8.0s MemAvailable=117.98 GiB
[2026-05-04T11:45:29-04:00] guard: elapsed=10.0s MemAvailable=117.78 GiB
[2026-05-04T11:45:31-04:00] guard: elapsed=12.0s MemAvailable=117.63 GiB
[2026-05-04T11:45:33-04:00] guard: elapsed=14.0s MemAvailable=103.91 GiB
[2026-05-04T11:45:35-04:00] guard: elapsed=16.0s MemAvailable=76.90 GiB
[2026-05-04T11:45:37-04:00] guard: elapsed=18.0s MemAvailable=76.70 GiB
[2026-05-04T11:45:39-04:00] guard: elapsed=20.0s MemAvailable=76.49 GiB
[2026-05-04T11:45:41-04:00] guard: elapsed=22.0s MemAvailable=76.28 GiB
[2026-05-04T11:45:43-04:00] guard: elapsed=24.0s MemAvailable=76.07 GiB
[2026-05-04T11:45:45-04:00] guard: elapsed=26.0s MemAvailable=75.66 GiB
[2026-05-04T11:45:47-04:00] guard: elapsed=28.0s MemAvailable=75.38 GiB
[2026-05-04T11:45:49-04:00] guard: elapsed=30.0s MemAvailable=74.98 GiB
[2026-05-04T11:45:51-04:00] guard: elapsed=32.0s MemAvailable=74.80 GiB
[2026-05-04T11:45:53-04:00] guard: elapsed=34.0s MemAvailable=74.61 GiB
[2026-05-04T11:45:55-04:00] guard: elapsed=36.0s MemAvailable=74.41 GiB
[2026-05-04T11:45:57-04:00] guard: elapsed=38.0s MemAvailable=74.23 GiB
[2026-05-04T11:45:59-04:00] guard: elapsed=40.0s MemAvailable=74.04 GiB
[2026-05-04T11:46:01-04:00] guard: elapsed=42.0s MemAvailable=73.84 GiB
[2026-05-04T11:46:03-04:00] guard: elapsed=44.0s MemAvailable=73.79 GiB
[2026-05-04T11:46:05-04:00] guard: elapsed=46.0s MemAvailable=73.74 GiB
[2026-05-04T11:46:07-04:00] guard: elapsed=48.0s MemAvailable=73.52 GiB
[2026-05-04T11:46:09-04:00] guard: elapsed=50.0s MemAvailable=73.29 GiB
[2026-05-04T11:46:11-04:00] guard: elapsed=52.0s MemAvailable=73.13 GiB
[2026-05-04T11:46:13-04:00] guard: elapsed=54.0s MemAvailable=72.91 GiB
[2026-05-04T11:46:15-04:00] guard: elapsed=56.0s MemAvailable=72.72 GiB
[2026-05-04T11:46:17-04:00] guard: elapsed=58.0s MemAvailable=72.29 GiB
[2026-05-04T11:46:19-04:00] guard: elapsed=60.0s MemAvailable=72.08 GiB
[2026-05-04T11:46:21-04:00] guard: elapsed=62.0s MemAvailable=71.88 GiB
[2026-05-04T11:46:23-04:00] guard: elapsed=64.0s MemAvailable=71.71 GiB
[2026-05-04T11:46:25-04:00] guard: elapsed=66.0s MemAvailable=71.48 GiB
[2026-05-04T11:46:27-04:00] guard: elapsed=68.0s MemAvailable=71.29 GiB
[2026-05-04T11:46:29-04:00] guard: elapsed=70.0s MemAvailable=71.07 GiB
[2026-05-04T11:46:31-04:00] guard: elapsed=72.0s MemAvailable=68.14 GiB
[2026-05-04T11:46:33-04:00] guard: elapsed=74.0s MemAvailable=67.71 GiB
[2026-05-04T11:46:35-04:00] guard: elapsed=76.0s MemAvailable=67.67 GiB
[2026-05-04T11:46:37-04:00] guard: elapsed=78.0s MemAvailable=67.48 GiB
[2026-05-04T11:46:39-04:00] guard: elapsed=80.0s MemAvailable=67.12 GiB
[2026-05-04T11:46:41-04:00] guard: elapsed=82.0s MemAvailable=67.06 GiB
[2026-05-04T11:46:43-04:00] guard: elapsed=84.0s MemAvailable=66.68 GiB
[2026-05-04T11:46:45-04:00] guard: elapsed=86.0s MemAvailable=66.74 GiB
[2026-05-04T11:46:47-04:00] guard: elapsed=88.0s MemAvailable=66.74 GiB
[2026-05-04T11:46:49-04:00] guard: elapsed=90.0s MemAvailable=66.29 GiB
[2026-05-04T11:46:51-04:00] guard: elapsed=92.0s MemAvailable=66.34 GiB
[2026-05-04T11:46:53-04:00] guard: elapsed=94.0s MemAvailable=66.17 GiB
[2026-05-04T11:46:55-04:00] guard: elapsed=96.0s MemAvailable=65.94 GiB
[2026-05-04T11:46:57-04:00] guard: elapsed=98.0s MemAvailable=65.96 GiB
[2026-05-04T11:46:59-04:00] guard: elapsed=100.0s MemAvailable=65.63 GiB
[2026-05-04T11:47:01-04:00] guard: elapsed=102.0s MemAvailable=65.63 GiB
[2026-05-04T11:47:03-04:00] guard: elapsed=104.0s MemAvailable=65.73 GiB
[2026-05-04T11:47:05-04:00] guard: elapsed=106.0s MemAvailable=65.57 GiB
[2026-05-04T11:47:07-04:00] guard: elapsed=108.0s MemAvailable=65.52 GiB
[2026-05-04T11:47:09-04:00] guard: elapsed=110.0s MemAvailable=65.54 GiB
[2026-05-04T11:47:11-04:00] guard: elapsed=112.0s MemAvailable=65.15 GiB
[2026-05-04T11:47:13-04:00] guard: elapsed=114.0s MemAvailable=65.18 GiB
[2026-05-04T11:47:15-04:00] guard: elapsed=116.0s MemAvailable=65.23 GiB
[2026-05-04T11:47:17-04:00] guard: elapsed=118.0s MemAvailable=65.26 GiB
[2026-05-04T11:47:19-04:00] guard: elapsed=120.0s MemAvailable=65.35 GiB
[2026-05-04T11:47:21-04:00] guard: elapsed=122.0s MemAvailable=65.29 GiB
[2026-05-04T11:47:23-04:00] guard: elapsed=124.0s MemAvailable=65.26 GiB
[2026-05-04T11:47:25-04:00] guard: elapsed=126.0s MemAvailable=65.38 GiB
[2026-05-04T11:47:27-04:00] guard: elapsed=128.0s MemAvailable=65.08 GiB
[2026-05-04T11:47:29-04:00] guard: elapsed=130.0s MemAvailable=65.17 GiB
[2026-05-04T11:47:31-04:00] guard: elapsed=132.0s MemAvailable=65.18 GiB
[2026-05-04T11:47:33-04:00] guard: elapsed=134.0s MemAvailable=65.18 GiB
[2026-05-04T11:47:35-04:00] guard: elapsed=136.0s MemAvailable=65.24 GiB
[2026-05-04T11:47:37-04:00] guard: elapsed=138.0s MemAvailable=65.15 GiB
[2026-05-04T11:47:39-04:00] guard: elapsed=140.0s MemAvailable=65.25 GiB
[2026-05-04T11:47:41-04:00] guard: elapsed=142.0s MemAvailable=65.32 GiB
[2026-05-04T11:47:43-04:00] guard: elapsed=144.0s MemAvailable=65.12 GiB
[2026-05-04T11:47:45-04:00] guard: elapsed=146.0s MemAvailable=65.13 GiB
[2026-05-04T11:47:47-04:00] guard: elapsed=148.0s MemAvailable=65.20 GiB
[2026-05-04T11:47:49-04:00] guard: elapsed=150.0s MemAvailable=65.01 GiB
[2026-05-04T11:47:51-04:00] guard: elapsed=152.0s MemAvailable=65.09 GiB
[2026-05-04T11:47:53-04:00] guard: elapsed=154.0s MemAvailable=65.16 GiB
[2026-05-04T11:47:55-04:00] guard: elapsed=156.0s MemAvailable=65.24 GiB
[2026-05-04T11:47:57-04:00] guard: elapsed=158.0s MemAvailable=65.22 GiB
[2026-05-04T11:47:59-04:00] guard: elapsed=160.0s MemAvailable=65.32 GiB
[2026-05-04T11:48:01-04:00] guard: elapsed=162.0s MemAvailable=65.11 GiB
[2026-05-04T11:48:03-04:00] guard: elapsed=164.0s MemAvailable=65.10 GiB
[2026-05-04T11:48:05-04:00] guard: elapsed=166.0s MemAvailable=63.45 GiB
[2026-05-04T11:48:07-04:00] guard: elapsed=168.0s MemAvailable=59.77 GiB
[2026-05-04T11:48:09-04:00] guard: elapsed=170.0s MemAvailable=58.88 GiB
[2026-05-04T11:48:11-04:00] guard: elapsed=172.0s MemAvailable=57.29 GiB
[2026-05-04T11:48:13-04:00] guard: elapsed=174.1s MemAvailable=56.88 GiB
[2026-05-04T11:48:15-04:00] guard: elapsed=176.1s MemAvailable=56.82 GiB
[2026-05-04T11:48:17-04:00] guard: elapsed=178.1s MemAvailable=56.75 GiB
[2026-05-04T11:48:19-04:00] guard: elapsed=180.1s MemAvailable=56.74 GiB
[2026-05-04T11:48:21-04:00] guard: elapsed=182.1s MemAvailable=56.74 GiB
[2026-05-04T11:48:23-04:00] guard: elapsed=184.1s MemAvailable=56.74 GiB
[2026-05-04T11:48:25-04:00] guard: elapsed=186.1s MemAvailable=56.74 GiB
[2026-05-04T11:48:27-04:00] guard: elapsed=188.1s MemAvailable=58.28 GiB
{"decode_seconds": 21.489410698995925, "event": "ab_run_done", "name": "materializer-ab-e050-01-arena", "returncode": 0, "tok_s": 1.4891055156526545, "token_ids_match_first": true, "variant": "arena"}
[2026-05-04T11:48:29-04:00] guard: elapsed=190.1s MemAvailable=67.11 GiB
[2026-05-04T11:48:31-04:00] guard: elapsed=192.1s MemAvailable=67.11 GiB
[2026-05-04T11:48:33-04:00] guard: elapsed=194.1s MemAvailable=67.11 GiB
{"event": "ab_run_start", "name": "materializer-ab-e050-02-cuda", "variant": "cuda"}
[2026-05-04T11:48:35-04:00] guard: elapsed=196.1s MemAvailable=67.05 GiB
[2026-05-04T11:48:37-04:00] guard: elapsed=198.1s MemAvailable=66.77 GiB
[2026-05-04T11:48:39-04:00] guard: elapsed=200.1s MemAvailable=66.74 GiB
[2026-05-04T11:48:41-04:00] guard: elapsed=202.1s MemAvailable=66.72 GiB
[2026-05-04T11:48:43-04:00] guard: elapsed=204.1s MemAvailable=66.63 GiB
[2026-05-04T11:48:45-04:00] guard: elapsed=206.1s MemAvailable=66.55 GiB
[2026-05-04T11:48:47-04:00] guard: elapsed=208.1s MemAvailable=65.83 GiB
[2026-05-04T11:48:49-04:00] guard: elapsed=210.1s MemAvailable=65.40 GiB
[2026-05-04T11:48:51-04:00] guard: elapsed=212.1s MemAvailable=65.16 GiB
[2026-05-04T11:48:53-04:00] guard: elapsed=214.1s MemAvailable=64.91 GiB
[2026-05-04T11:48:55-04:00] guard: elapsed=216.1s MemAvailable=64.67 GiB
[2026-05-04T11:48:57-04:00] guard: elapsed=218.1s MemAvailable=64.34 GiB
[2026-05-04T11:48:59-04:00] guard: elapsed=220.1s MemAvailable=63.86 GiB
[2026-05-04T11:49:01-04:00] guard: elapsed=222.1s MemAvailable=63.64 GiB
[2026-05-04T11:49:03-04:00] guard: elapsed=224.1s MemAvailable=63.40 GiB
[2026-05-04T11:49:05-04:00] guard: elapsed=226.1s MemAvailable=63.19 GiB
[2026-05-04T11:49:07-04:00] guard: elapsed=228.1s MemAvailable=62.97 GiB
[2026-05-04T11:49:09-04:00] guard: elapsed=230.1s MemAvailable=62.75 GiB
[2026-05-04T11:49:11-04:00] guard: elapsed=232.1s MemAvailable=62.52 GiB
[2026-05-04T11:49:13-04:00] guard: elapsed=234.1s MemAvailable=62.30 GiB
[2026-05-04T11:49:15-04:00] guard: elapsed=236.1s MemAvailable=62.08 GiB
[2026-05-04T11:49:17-04:00] guard: elapsed=238.1s MemAvailable=61.85 GiB
[2026-05-04T11:49:19-04:00] guard: elapsed=240.1s MemAvailable=61.64 GiB
[2026-05-04T11:49:21-04:00] guard: elapsed=242.1s MemAvailable=61.40 GiB
[2026-05-04T11:49:23-04:00] guard: elapsed=244.1s MemAvailable=61.19 GiB
[2026-05-04T11:49:25-04:00] guard: elapsed=246.1s MemAvailable=61.12 GiB
