==== 2026-05-03T21:56:44-04:00 guarded docker run start ====
command: docker run --rm --name matrix-route-t32-reuse-c1024 --runtime=nvidia --gpus all --memory 112g --memory-swap 120g -v /home/cole/deepseek-v4-flash-dgx-spark:/repo:ro -v /home/cole/models/deepseek-v4-flash/hf:/model:ro -v /home/cole/runs/deepseek-v4-flash:/runs -e PYTHONPATH=/repo:/repo/spark_runtime:/model/inference -e PYTHONDONTWRITEBYTECODE=1 -e DEEPSEEK_SPARK_MODEL_DIR=/model -e DEEPSEEK_SPARK_MANIFEST_CSV=/repo/results/spark-66c9/weight-manifest.csv -e DEEPSEEK_SPARK_TELEMETRY_JSONL=/runs/matrix-route-t32-reuse-c1024.jsonl -e DEEPSEEK_SPARK_POSTFILL_MODE=deferred -e DEEPSEEK_SPARK_EXPERT_CACHE_ENTRIES=1024 -e DEEPSEEK_SPARK_EXPERT_CACHE_POLICY=layer_lru -e DEEPSEEK_SPARK_EXPERT_CACHE_LAYER_COUNT=43 -e DEEPSEEK_SPARK_PACKED_EXPERT_LAYOUT=/runs/packed-route-e018/layout.json -e DEEPSEEK_SPARK_NATIVE_BUILD_DIR=/runs/torch-extensions/native-packed-loader -e DEEPSEEK_SPARK_PACKED_REUSE_STAGING=1 --entrypoint /bin/bash deepseek-v4-flash-spark:tilelang -lc 'cd /repo && python3 /repo/scripts/probe_server_http.py --prompt "Hello" --max-tokens 32 --skip-chat'
guard: memory=112g memory_swap=120g min_mem_available_gib=12.0 timeout_seconds=2400.0
[2026-05-03T21:56:44-04:00] guard: initial MemAvailable=116.51 GiB
[2026-05-03T21:56:44-04:00] guard: elapsed=0.0s MemAvailable=116.51 GiB
[2026-05-03T21:56:46-04:00] guard: elapsed=2.0s MemAvailable=116.53 GiB
[2026-05-03T21:56:48-04:00] guard: elapsed=4.0s MemAvailable=116.56 GiB
[2026-05-03T21:56:50-04:00] guard: elapsed=6.0s MemAvailable=116.57 GiB
[2026-05-03T21:56:52-04:00] guard: elapsed=8.0s MemAvailable=116.56 GiB
INFO:     Started server process [45]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:18080 (Press CTRL+C to quit)
INFO:     127.0.0.1:35678 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:35686 - "GET /v1/models HTTP/1.1" 200 OK
/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:435: UserWarning:
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)

  queued_call()
/repo/spark_runtime/lazy_official_runtime.py:801: FutureWarning: torch.cuda._set_allocator_settings is deprecated. Use torch._C._accelerator_setAllocatorSettings instead.
  torch.cuda.memory._set_allocator_settings("expandable_segments:True")
[2026-05-03T21:56:54-04:00] guard: elapsed=10.0s MemAvailable=116.35 GiB
[2026-05-03T21:56:56-04:00] guard: elapsed=12.0s MemAvailable=104.12 GiB
[2026-05-03T21:56:58-04:00] guard: elapsed=14.0s MemAvailable=75.96 GiB
[2026-05-03T21:57:00-04:00] guard: elapsed=16.0s MemAvailable=75.74 GiB
[2026-05-03T21:57:02-04:00] guard: elapsed=18.0s MemAvailable=75.52 GiB
[2026-05-03T21:57:04-04:00] guard: elapsed=20.0s MemAvailable=75.30 GiB
[2026-05-03T21:57:06-04:00] guard: elapsed=22.0s MemAvailable=74.93 GiB
[2026-05-03T21:57:08-04:00] guard: elapsed=24.0s MemAvailable=74.74 GiB
[2026-05-03T21:57:10-04:00] guard: elapsed=26.0s MemAvailable=74.57 GiB
[2026-05-03T21:57:12-04:00] guard: elapsed=28.0s MemAvailable=74.39 GiB
[2026-05-03T21:57:14-04:00] guard: elapsed=30.0s MemAvailable=74.25 GiB
[2026-05-03T21:57:16-04:00] guard: elapsed=32.0s MemAvailable=74.09 GiB
[2026-05-03T21:57:18-04:00] guard: elapsed=34.0s MemAvailable=73.89 GiB
[2026-05-03T21:57:20-04:00] guard: elapsed=36.0s MemAvailable=73.72 GiB
[2026-05-03T21:57:22-04:00] guard: elapsed=38.0s MemAvailable=73.57 GiB
[2026-05-03T21:57:24-04:00] guard: elapsed=40.0s MemAvailable=73.39 GiB
[2026-05-03T21:57:26-04:00] guard: elapsed=42.0s MemAvailable=72.98 GiB
[2026-05-03T21:57:28-04:00] guard: elapsed=44.0s MemAvailable=72.81 GiB
[2026-05-03T21:57:30-04:00] guard: elapsed=46.0s MemAvailable=72.63 GiB
[2026-05-03T21:57:32-04:00] guard: elapsed=48.0s MemAvailable=72.45 GiB
