==== 2026-05-01T16:27:53-04:00 guarded docker run start ====
command: docker run --rm --name mvp-server-http-probe --runtime=nvidia --gpus all --memory 104g --memory-swap 112g -v /home/cole/models/deepseek-v4-flash/hf:/model:ro -v /home/cole/deepseek-v4-flash-dgx-spark:/repo:ro -e PYTHONPATH=/repo:/repo/spark_runtime:/model/inference --entrypoint python3 deepseek-v4-flash-spark:tilelang /repo/scripts/probe_server_http.py --prompt Hello --max-tokens 1
guard: memory=104g memory_swap=112g min_mem_available_gib=16.0 timeout_seconds=7200.0
[2026-05-01T16:27:53-04:00] guard: initial MemAvailable=118.45 GiB
[2026-05-01T16:27:53-04:00] guard: elapsed=0.0s MemAvailable=118.45 GiB
[2026-05-01T16:27:55-04:00] guard: elapsed=2.0s MemAvailable=118.35 GiB
[2026-05-01T16:27:57-04:00] guard: elapsed=4.0s MemAvailable=118.09 GiB
[2026-05-01T16:27:59-04:00] guard: elapsed=6.0s MemAvailable=118.07 GiB
[2026-05-01T16:28:01-04:00] guard: elapsed=8.0s MemAvailable=118.04 GiB
[2026-05-01T16:28:03-04:00] guard: elapsed=10.0s MemAvailable=118.01 GiB
INFO:     Started server process [43]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:18080 (Press CTRL+C to quit)
INFO:     127.0.0.1:41946 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:41962 - "GET /v1/models HTTP/1.1" 200 OK
/repo/spark_runtime/lazy_official_runtime.py:260: FutureWarning: torch.cuda._set_allocator_settings is deprecated. Use torch._C._accelerator_setAllocatorSettings instead.
  torch.cuda.memory._set_allocator_settings("expandable_segments:True")
[2026-05-01T16:28:05-04:00] guard: elapsed=12.0s MemAvailable=117.95 GiB
/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:435: UserWarning: 
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)
    
  queued_call()
[2026-05-01T16:28:07-04:00] guard: elapsed=14.0s MemAvailable=95.31 GiB
[2026-05-01T16:28:09-04:00] guard: elapsed=16.0s MemAvailable=76.92 GiB
[2026-05-01T16:28:11-04:00] guard: elapsed=18.0s MemAvailable=76.68 GiB
[2026-05-01T16:28:13-04:00] guard: elapsed=20.0s MemAvailable=76.44 GiB
[2026-05-01T16:28:15-04:00] guard: elapsed=22.0s MemAvailable=76.20 GiB
[2026-05-01T16:28:17-04:00] guard: elapsed=24.0s MemAvailable=75.69 GiB
[2026-05-01T16:28:19-04:00] guard: elapsed=26.0s MemAvailable=75.45 GiB
[2026-05-01T16:28:21-04:00] guard: elapsed=28.0s MemAvailable=75.20 GiB
[2026-05-01T16:28:23-04:00] guard: elapsed=30.0s MemAvailable=74.97 GiB
[2026-05-01T16:28:25-04:00] guard: elapsed=32.0s MemAvailable=74.49 GiB
[2026-05-01T16:28:27-04:00] guard: elapsed=34.0s MemAvailable=74.26 GiB
[2026-05-01T16:28:29-04:00] guard: elapsed=36.0s MemAvailable=74.05 GiB
[2026-05-01T16:28:31-04:00] guard: elapsed=38.0s MemAvailable=73.81 GiB
[2026-05-01T16:28:33-04:00] guard: elapsed=40.0s MemAvailable=73.60 GiB
[2026-05-01T16:28:35-04:00] guard: elapsed=42.0s MemAvailable=73.38 GiB
[2026-05-01T16:28:37-04:00] guard: elapsed=44.0s MemAvailable=73.16 GiB
[2026-05-01T16:28:39-04:00] guard: elapsed=46.0s MemAvailable=72.91 GiB
[2026-05-01T16:28:41-04:00] guard: elapsed=48.0s MemAvailable=72.70 GiB
[2026-05-01T16:28:43-04:00] guard: elapsed=50.0s MemAvailable=72.47 GiB
[2026-05-01T16:28:45-04:00] guard: elapsed=52.0s MemAvailable=72.24 GiB
[2026-05-01T16:28:47-04:00] guard: elapsed=54.0s MemAvailable=72.01 GiB
[2026-05-01T16:28:49-04:00] guard: elapsed=56.0s MemAvailable=72.02 GiB
[2026-05-01T16:28:51-04:00] guard: elapsed=58.0s MemAvailable=71.79 GiB
[2026-05-01T16:28:53-04:00] guard: elapsed=60.0s MemAvailable=71.57 GiB
[2026-05-01T16:28:55-04:00] guard: elapsed=62.0s MemAvailable=71.35 GiB
[2026-05-01T16:28:57-04:00] guard: elapsed=64.0s MemAvailable=70.05 GiB
[2026-05-01T16:28:59-04:00] guard: elapsed=66.0s MemAvailable=67.69 GiB
[2026-05-01T16:29:01-04:00] guard: elapsed=68.0s MemAvailable=67.62 GiB
[2026-05-01T16:29:03-04:00] guard: elapsed=70.0s MemAvailable=67.55 GiB
[2026-05-01T16:29:05-04:00] guard: elapsed=72.0s MemAvailable=67.06 GiB
[2026-05-01T16:29:07-04:00] guard: elapsed=74.0s MemAvailable=66.99 GiB
[2026-05-01T16:29:09-04:00] guard: elapsed=76.0s MemAvailable=66.69 GiB
[2026-05-01T16:29:11-04:00] guard: elapsed=78.0s MemAvailable=66.54 GiB
[2026-05-01T16:29:13-04:00] guard: elapsed=80.0s MemAvailable=66.57 GiB
[2026-05-01T16:29:15-04:00] guard: elapsed=82.0s MemAvailable=66.28 GiB
[2026-05-01T16:29:17-04:00] guard: elapsed=84.0s MemAvailable=66.37 GiB
[2026-05-01T16:29:19-04:00] guard: elapsed=86.0s MemAvailable=66.34 GiB
[2026-05-01T16:29:21-04:00] guard: elapsed=88.0s MemAvailable=66.11 GiB
[2026-05-01T16:29:23-04:00] guard: elapsed=90.0s MemAvailable=66.16 GiB
