source_name,target_name,status,role,transform,source_dtype,source_shape,source_bytes,source_shard,source_offset,target_known,target_dtype,target_shape,target_bytes
embed.weight,embed.weight,mapped,resident,copy,BF16,129280x4096,1059061760,model-00001-of-00046.safetensors,96,True,torch.bfloat16,"[129280, 4096]",1059061760
layers.0.ffn.gate.tid2eid,layers.0.ffn.gate.tid2eid,mapped,resident,copy,I64,129280x6,6205440,model-00002-of-00046.safetensors,172240,True,torch.int32,"[129280, 6]",3102720
layers.0.attn.attn_sink,layers.0.attn.attn_sink,mapped,resident,copy,F32,64,256,model-00002-of-00046.safetensors,6377680,True,torch.float32,[64],256
layers.0.hc_attn_base,layers.0.hc_attn_base,mapped,resident,copy,F32,24,96,model-00002-of-00046.safetensors,6377936,True,torch.float32,[24],96
layers.0.hc_attn_fn,layers.0.hc_attn_fn,mapped,resident,copy,F32,24x16384,1572864,model-00002-of-00046.safetensors,6378032,True,torch.float32,"[24, 16384]",1572864
layers.0.hc_attn_scale,layers.0.hc_attn_scale,mapped,resident,copy,F32,3,12,model-00002-of-00046.safetensors,7950896,True,torch.float32,[3],12
layers.0.hc_ffn_base,layers.0.hc_ffn_base,mapped,resident,copy,F32,24,96,model-00002-of-00046.safetensors,7950908,True,torch.float32,[24],96
layers.0.hc_ffn_fn,layers.0.hc_ffn_fn,mapped,resident,copy,F32,24x16384,1572864,model-00002-of-00046.safetensors,7951004,True,torch.float32,"[24, 16384]",1572864
layers.0.hc_ffn_scale,layers.0.hc_ffn_scale,mapped,resident,copy,F32,3,12,model-00002-of-00046.safetensors,9523868,True,torch.float32,[3],12
layers.0.attn.kv_norm.weight,layers.0.attn.kv_norm.weight,mapped,resident,copy,BF16,512,1024,model-00002-of-00046.safetensors,9523880,True,torch.float32,[512],2048
layers.0.attn.q_norm.weight,layers.0.attn.q_norm.weight,mapped,resident,copy,BF16,1024,2048,model-00002-of-00046.safetensors,9524904,True,torch.float32,[1024],4096
layers.0.attn_norm.weight,layers.0.attn_norm.weight,mapped,resident,copy,BF16,4096,8192,model-00002-of-00046.safetensors,9526952,True,torch.float32,[4096],16384
